,vocab,count,valence
229,C1=C[NH2+]N=C1,1,"[(1, 1, 2, 0, 1)]"
230,C1=C[NH2+]N=N1,1,"[(1, 1, 2, 0, 0)]"
231,C1=C[NH2+]NC1,1,"[(1, 1, 2, 1, 2)]"
232,C1=C[NH2+]OC1,2,"[(1, 1, 2, 0, 2)]"
233,C1=C[NH2+]ON1,1,"[(1, 1, 2, 0, 1)]"
234,C1=C[NH2+]O[N-]1,3,"[(1, 1, 2, 0, 0)]"
235,C1=C[O+]=CC1,1,"[(1, 1, 0, 1, 2)]"
236,C1=C[O+]=S=C1,1,"[(1, 1, 0, 2, 1)]"
237,C1=C[S+]=CC1,3,"[(1, 1, 0, 1, 2)]"
238,C1=C[S+]=C[N-]1,421,"[(1, 1, 0, 1, 0)]"
239,C1=C[S+]=NO1,1,"[(1, 1, 0, 0, 0)]"
240,C1=C[S+]=N[N-]1,9,"[(1, 1, 0, 0, 0)]"
241,C1=C[SH+]C=C1,4,"[(1, 1, 1, 1, 1)]"
242,C1=C[SH+]CC1,6,"[(1, 1, 1, 2, 2)]"
243,C1=C[SH+]CO1,1,"[(1, 1, 1, 2, 0)]"
244,C1=C[SH+]CS1,2,"[(1, 1, 1, 2, 0)]"
245,C1=C[SH+]NC1,5,"[(1, 1, 1, 1, 2)]"
246,C1=C[SH+]OC1,1,"[(1, 1, 1, 0, 2)]"
247,C1=C[SH]=NC1,1,"[(1, 1, 3, 0, 2)]"
248,C1=NC=NC1,7,"[(1, 0, 1, 0, 2)]"
249,C1=NC=[S+][N-]1,2,"[(1, 0, 1, 0, 0)]"
250,C1=NCCC1,46,"[(1, 0, 2, 2, 2)]"
251,C1=NCCN1,90,"[(1, 0, 2, 2, 1)]"
252,C1=NCCO1,206,"[(1, 0, 2, 2, 0)]"
253,C1=NCCS1,8,"[(1, 0, 2, 2, 0)]"
254,C1=NCN=C1,7,"[(1, 0, 2, 0, 1)]"
255,C1=NCNC1,11,"[(1, 0, 2, 1, 2)]"
256,C1=NCNN1,4,"[(1, 0, 2, 1, 1)]"
257,C1=NCNO1,4,"[(1, 0, 2, 1, 0)]"
258,C1=NCOC1,11,"[(1, 0, 2, 0, 2)]"
259,C1=NCSC1,9,"[(1, 0, 2, 0, 2)]"
