,vocab,count,valence
430,B1C=CCNO1,1,"[(1, 1, 1, 2, 1, 0)]"
431,B1C=CNBO1,2,"[(1, 1, 1, 1, 1, 0)]"
432,B1C=CNC=C1,10,"[(1, 1, 1, 1, 1, 1)]"
433,B1C=CNCN1,2,"[(1, 1, 1, 1, 2, 1)]"
434,B1C=COC=C1,1,"[(1, 1, 1, 0, 1, 1)]"
435,B1C=[BH-][NH+]=CN1,1,"[(1, 1, 1, 1, 1, 1)]"
436,B1CBCCC1,1,"[(1, 2, 1, 2, 2, 2)]"
437,B1CCBCC1,1,"[(1, 2, 2, 1, 2, 2)]"
438,B1COBCO1,1,"[(1, 2, 0, 1, 2, 0)]"
439,B1NBNBN1,6,"[(1, 1, 1, 1, 1, 1)]"
440,B1NC=CCO1,2,"[(1, 1, 1, 1, 2, 0)]"
441,B1NCNCN1,1,"[(1, 1, 2, 1, 2, 1)]"
442,B1OBOBO1,6,"[(1, 0, 1, 0, 1, 0)]"
443,B1OBOSO1,1,"[(1, 0, 1, 0, 4, 0)]"
444,B1OBO[BH2-]O1,4,"[(1, 0, 1, 0, 2, 0)]"
445,B1OCCCO1,20,"[(1, 0, 2, 2, 2, 0)]"
446,B1OCCNO1,4,"[(1, 0, 2, 2, 1, 0)]"
447,B1ONCNO1,1,"[(1, 0, 1, 2, 1, 0)]"
448,B1O[BH2-]O[BH2-]O1,1,"[(1, 0, 2, 0, 2, 0)]"
449,C1#CC=CC=C1,1,"[(0, 0, 1, 1, 1, 1)]"
450,C1=C=C=CC=C=1,1,"[(0, 0, 0, 1, 1, 0)]"
451,C1=CC=CC=C1,62746,"[(1, 1, 1, 1, 1, 1)]"
452,C1=CC=NC=C1,4908,"[(1, 1, 1, 0, 1, 1)]"
453,C1=CC=NN=C1,40,"[(1, 1, 1, 0, 0, 1)]"
454,C1=CC=[NH+]C=C1,86,"[(1, 1, 1, 1, 1, 1)]"
455,C1=CC=[NH+]N=C1,1,"[(1, 1, 1, 1, 0, 1)]"
456,C1=CC=[SH]C=C1,2,"[(1, 1, 1, 3, 1, 1)]"
457,C1=CCC=CC1,682,"[(1, 1, 2, 1, 1, 2)]"
458,C1=CCC=[N+]=C1,1,"[(1, 1, 2, 1, 0, 1)]"
459,C1=CCCC=C1,492,"[(1, 1, 2, 2, 1, 1)]"
460,C1=CCCCC1,1068,"[(1, 1, 2, 2, 2, 2)]"
461,C1=CCCN=C1,18,"[(1, 1, 2, 2, 0, 1)]"
462,C1=CCN=CC1,3,"[(1, 1, 2, 0, 1, 2)]"
463,C1=CCNC=C1,468,"[(1, 1, 2, 1, 1, 1)]"
464,C1=CCNCC1,364,"[(1, 1, 2, 1, 2, 2)]"
465,C1=CCNN=C1,60,"[(1, 1, 2, 1, 0, 1)]"
466,C1=CCNNC1,5,"[(1, 1, 2, 1, 1, 2)]"
467,C1=CCOC=C1,855,"[(1, 1, 2, 0, 1, 1)]"
468,C1=CCOCC1,231,"[(1, 1, 2, 0, 2, 2)]"
469,C1=CCON=C1,1,"[(1, 1, 2, 0, 0, 1)]"
470,C1=CCONC1,14,"[(1, 1, 2, 0, 1, 2)]"
471,C1=CCOOC1,4,"[(1, 1, 2, 0, 0, 2)]"
472,C1=CCSC=C1,20,"[(1, 1, 2, 4, 1, 1), (1, 1, 2, 0, 1, 1)]"
473,C1=CCSCC1,24,"[(1, 1, 2, 0, 2, 2), (1, 1, 2, 4, 2, 2)]"
474,C1=CCSNC1,1,"[(1, 1, 2, 4, 1, 2)]"
475,C1=CCSSC1,1,"[(1, 1, 2, 0, 0, 2)]"
476,C1=CC[N-]C=C1,5,"[(1, 1, 2, 0, 1, 1)]"
477,C1=CC[NH2+]C=C1,11,"[(1, 1, 2, 2, 1, 1)]"
478,C1=CC[NH2+]CC1,3,"[(1, 1, 2, 2, 2, 2)]"
479,C1=CC[SH+]C=C1,1,"[(1, 1, 2, 1, 1, 1)]"
480,C1=CC[SH+]CC1,5,"[(1, 1, 2, 1, 2, 2)]"
481,C1=CC[SH+]NC1,9,"[(1, 1, 2, 1, 1, 2)]"
482,C1=CC[SH+]SC1,2,"[(1, 1, 2, 1, 0, 2)]"
483,C1=CC[SH]=NC1,1,"[(1, 1, 2, 3, 0, 2)]"
484,C1=CN=CC=N1,339,"[(1, 1, 0, 1, 1, 0)]"
485,C1=CN=CCC1,6,"[(1, 1, 0, 1, 2, 2)]"
486,C1=CN=CN=C1,500,"[(1, 1, 0, 1, 0, 1)]"
487,C1=CN=CNC1,157,"[(1, 1, 0, 1, 1, 2)]"
488,C1=CN=COC1,34,"[(1, 1, 0, 1, 0, 2)]"
489,C1=CN=CSC1,3,"[(1, 1, 0, 1, 0, 2)]"
490,C1=CN=C[NH+]=C1,1,"[(1, 1, 0, 1, 1, 1)]"
491,C1=CN=C[NH2+]C1,1,"[(1, 1, 0, 1, 2, 2)]"
492,C1=CN=NC=C1,41,"[(1, 1, 0, 0, 1, 1)]"
493,C1=CN=NC=N1,10,"[(1, 1, 0, 0, 1, 0)]"
494,C1=CN=NN=C1,8,"[(1, 1, 0, 0, 0, 1)]"
495,C1=CN=NNC1,6,"[(1, 1, 0, 0, 1, 2)]"
496,C1=CN=[NH+]N=C1,3,"[(1, 1, 0, 1, 0, 1)]"
497,C1=CN=[SH]CC1,3,"[(1, 1, 0, 3, 2, 2)]"
498,C1=CN=[SH]N=C1,1,"[(1, 1, 0, 3, 0, 1)]"
499,C1=CNC=CC1,315,"[(1, 1, 1, 1, 1, 2)]"
500,C1=CNC=CN1,25,"[(1, 1, 1, 1, 1, 1)]"
501,C1=CNC=NC1,6,"[(1, 1, 1, 1, 0, 2)]"
502,C1=CNCC=N1,57,"[(1, 1, 1, 2, 1, 0)]"
503,C1=CNCCC1,238,"[(1, 1, 1, 2, 2, 2)]"
504,C1=CNCCN1,43,"[(1, 1, 1, 2, 2, 1)]"
505,C1=CNCN=C1,69,"[(1, 1, 1, 2, 0, 1)]"
506,C1=CNCNC1,345,"[(1, 1, 1, 2, 1, 2)]"
507,C1=CNCOC1,29,"[(1, 1, 1, 2, 0, 2)]"
508,C1=CNCSC1,1,"[(1, 1, 1, 2, 0, 2)]"
509,C1=CNC[NH+]=C1,1,"[(1, 1, 1, 2, 1, 1)]"
510,C1=CNN=CC1,12,"[(1, 1, 1, 0, 1, 2)]"
511,C1=CNN=CN1,1,"[(1, 1, 1, 0, 1, 1)]"
512,C1=CNNC=C1,1,"[(1, 1, 1, 1, 1, 1)]"
513,C1=CNNC=N1,1,"[(1, 1, 1, 1, 1, 0)]"
514,C1=CNNCC1,1,"[(1, 1, 1, 1, 2, 2)]"
515,C1=CNSC=C1,38,"[(1, 1, 1, 4, 1, 1)]"
516,C1=CNSCC1,11,"[(1, 1, 1, 4, 2, 2)]"
517,C1=CNSN=C1,8,"[(1, 1, 1, 4, 0, 1)]"
518,C1=CNSNC1,2,"[(1, 1, 1, 4, 1, 2)]"
519,C1=CN[NH2+]C=C1,1,"[(1, 1, 1, 2, 1, 1)]"
520,C1=COC=CC1,639,"[(1, 1, 0, 1, 1, 2)]"
521,C1=COC=CN1,41,"[(1, 1, 0, 1, 1, 1)]"
522,C1=COC=CO1,2,"[(1, 1, 0, 1, 1, 0)]"
523,C1=COC=NC1,4,"[(1, 1, 0, 1, 0, 2)]"
524,C1=COC=NN1,1,"[(1, 1, 0, 1, 0, 1)]"
525,C1=COCC=N1,30,"[(1, 1, 0, 2, 1, 0)]"
526,C1=COCCC1,468,"[(1, 1, 0, 2, 2, 2)]"
527,C1=COCCN1,55,"[(1, 1, 0, 2, 2, 1)]"
528,C1=COCCO1,36,"[(1, 1, 0, 2, 2, 0)]"
529,C1=COCC[NH2+]1,1,"[(1, 1, 0, 2, 2, 2)]"
530,C1=COCN=C1,8,"[(1, 1, 0, 2, 0, 1)]"
531,C1=COCNC1,55,"[(1, 1, 0, 2, 1, 2)]"
532,C1=COCOC1,40,"[(1, 1, 0, 2, 0, 2)]"
533,C1=COCSC1,1,"[(1, 1, 0, 2, 0, 2)]"
534,C1=COC[NH+]=C1,1,"[(1, 1, 0, 2, 1, 1)]"
535,C1=COSC=C1,4,"[(1, 1, 0, 4, 1, 1)]"
536,C1=COSCC1,2,"[(1, 1, 0, 4, 2, 2)]"
537,C1=COSN=C1,1,"[(1, 1, 0, 4, 0, 1)]"
538,C1=COSNC1,12,"[(1, 1, 0, 4, 1, 2)]"
539,C1=CSC=CC1,77,"[(1, 1, 0, 1, 1, 2), (1, 1, 4, 1, 1, 2)]"
540,C1=CSC=CN1,134,"[(1, 1, 0, 1, 1, 1), (1, 1, 4, 1, 1, 1)]"
541,C1=CSC=CO1,6,"[(1, 1, 4, 1, 1, 0), (1, 1, 0, 1, 1, 0)]"
542,C1=CSC=CS1,39,"[(1, 1, 4, 1, 1, 4), (1, 1, 0, 1, 1, 0)]"
543,C1=CSCC=N1,9,"[(1, 1, 0, 2, 1, 0)]"
544,C1=CSCCC1,36,"[(1, 1, 0, 2, 2, 2), (1, 1, 4, 2, 2, 2)]"
545,C1=CSCCN1,52,"[(1, 1, 0, 2, 2, 1), (1, 1, 4, 2, 2, 1)]"
546,C1=CSCCO1,10,"[(1, 1, 0, 2, 2, 0), (1, 1, 4, 2, 2, 0)]"
547,C1=CSCCS1,30,"[(1, 1, 0, 2, 2, 0)]"
548,C1=CSCNC1,7,"[(1, 1, 0, 2, 1, 2), (1, 1, 4, 2, 1, 2)]"
549,C1=CSN=CN1,18,"[(1, 1, 0, 0, 1, 1), (1, 1, 4, 0, 1, 1)]"
550,C1=CSN=CS1,1,"[(1, 1, 0, 0, 1, 0)]"
551,C1=CSNC=N1,2,"[(1, 1, 4, 1, 1, 0)]"
552,C1=CSNCC1,18,"[(1, 1, 4, 1, 2, 2)]"
553,C1=CSNCN1,5,"[(1, 1, 4, 1, 2, 1)]"
554,C1=CSNCO1,1,"[(1, 1, 4, 1, 2, 0)]"
555,C1=CSNN=C1,1,"[(1, 1, 4, 1, 0, 1)]"
556,C1=CSNN=N1,1,"[(1, 1, 4, 1, 0, 0)]"
557,C1=CSOCC1,1,"[(1, 1, 4, 0, 2, 2)]"
558,C1=CSSC=C1,2,"[(1, 1, 0, 0, 1, 1), (1, 1, 4, 4, 1, 1)]"
559,C1=CSSCC1,1,"[(1, 1, 0, 0, 2, 2)]"
560,C1=CSSCS1,2,"[(1, 1, 0, 0, 2, 0)]"
561,C1=C[N-]C=CC1,2,"[(1, 1, 0, 1, 1, 2)]"
562,C1=C[N-]C=C[N-]1,1,"[(1, 1, 0, 1, 1, 0)]"
563,C1=C[N-]CNC1,1,"[(1, 1, 0, 2, 1, 2)]"
564,C1=C[N-]SC=C1,2,"[(1, 1, 0, 4, 1, 1)]"
565,C1=C[NH+]=NC=N1,1,"[(1, 1, 1, 0, 1, 0)]"
566,C1=C[NH+]=N[NH+]=N1,1,"[(1, 1, 1, 0, 1, 0)]"
567,C1=C[NH2+]C=CC1,1,"[(1, 1, 2, 1, 1, 2)]"
568,C1=C[NH2+]C=CN1,5,"[(1, 1, 2, 1, 1, 1)]"
569,C1=C[NH2+]C=C[N-]1,1,"[(1, 1, 2, 1, 1, 0)]"
570,C1=C[NH2+]CCN1,1,"[(1, 1, 2, 2, 2, 1)]"
571,C1=C[NH2+]C[O+]=N1,1,"[(1, 1, 2, 2, 0, 0)]"
572,C1=C[S+]=CNC1,1,"[(1, 1, 0, 1, 1, 2)]"
573,C1=C[S+]=NS[N-]1,1,"[(1, 1, 0, 0, 0, 0)]"
574,C1=C[SH+]C=CC1,10,"[(1, 1, 1, 1, 1, 2)]"
575,C1=C[SH+]C=CN1,8,"[(1, 1, 1, 1, 1, 1)]"
576,C1=C[SH+]C=CS1,4,"[(1, 1, 1, 1, 1, 0)]"
577,C1=C[SH+]C=C[N-]1,2,"[(1, 1, 1, 1, 1, 0)]"
578,C1=C[SH+]C=C[SH+]1,1,"[(1, 1, 1, 1, 1, 1)]"
579,C1=C[SH+]CCC1,1,"[(1, 1, 1, 2, 2, 2)]"
580,C1=C[SH+]CCN1,2,"[(1, 1, 1, 2, 2, 1)]"
581,C1=C[SH+]CNC1,1,"[(1, 1, 1, 2, 1, 2)]"
582,C1=C[SH+]N=CN1,2,"[(1, 1, 1, 0, 1, 1)]"
583,C1=NC=NC=N1,96,"[(1, 0, 1, 0, 1, 0)]"
584,C1=NC=NCN1,12,"[(1, 0, 1, 0, 2, 1)]"
585,C1=NC=NN=C1,27,"[(1, 0, 1, 0, 0, 1)]"
586,C1=NC=NN=N1,1,"[(1, 0, 1, 0, 0, 0)]"
587,C1=NC=NNC1,1,"[(1, 0, 1, 0, 1, 2)]"
588,C1=NC=N[SH+][N-]1,2,"[(1, 0, 1, -1, 1, 1)]"
589,C1=NCC=NC1,14,"[(1, 0, 2, 1, 0, 2)]"
590,C1=NCC=NN1,7,"[(1, 0, 2, 1, 0, 1)]"
591,C1=NCCCC1,1,"[(1, 0, 2, 2, 2, 2)]"
592,C1=NCCCN1,5,"[(1, 0, 2, 2, 2, 1)]"
593,C1=NCCCO1,7,"[(1, 0, 2, 2, 2, 0)]"
594,C1=NCCN=C1,1,"[(1, 0, 2, 2, 0, 1)]"
595,C1=NCCNC1,8,"[(1, 0, 2, 2, 1, 2)]"
596,C1=NCCOC1,12,"[(1, 0, 2, 2, 0, 2)]"
597,C1=NCN=CC1,1,"[(1, 0, 2, 0, 1, 2)]"
598,C1=NCNCC1,10,"[(1, 0, 2, 1, 2, 2)]"
599,C1=NCNCN1,4,"[(1, 0, 2, 1, 2, 1)]"
600,C1=NCNCO1,1,"[(1, 0, 2, 1, 2, 0)]"
601,C1=NCNN=C1,4,"[(1, 0, 2, 1, 0, 1)]"
602,C1=NCNN=N1,1,"[(1, 0, 2, 1, 0, 0)]"
603,C1=NCNNC1,1,"[(1, 0, 2, 1, 1, 2)]"
604,C1=NCOCC1,1,"[(1, 0, 2, 0, 2, 2)]"
605,C1=NN=CCC1,1,"[(1, 0, 0, 1, 2, 2)]"
606,C1=NN=CN=N1,46,"[(1, 0, 0, 1, 0, 0)]"
607,C1=NN=CNC1,2,"[(1, 0, 0, 1, 1, 2)]"
608,C1=NN=CNN1,1,"[(1, 0, 0, 1, 1, 1)]"
609,C1=NN=COC1,1,"[(1, 0, 0, 1, 0, 2)]"
610,C1=NNC=NN1,19,"[(1, 0, 1, 1, 0, 1)]"
611,C1=NNCCC1,17,"[(1, 0, 1, 2, 2, 2)]"
612,C1=NNCCN1,5,"[(1, 0, 1, 2, 2, 1)]"
613,C1=NNCCO1,6,"[(1, 0, 1, 2, 2, 0)]"
614,C1=NNCN=N1,3,"[(1, 0, 1, 2, 0, 0)]"
615,C1=NNCNC1,35,"[(1, 0, 1, 2, 1, 2)]"
616,C1=NNCNN1,7,"[(1, 0, 1, 2, 1, 1)]"
617,C1=NNCOC1,2,"[(1, 0, 1, 2, 0, 2)]"
618,C1=NNN=CC1,1,"[(1, 0, 1, 0, 1, 2)]"
619,C1=NNN=CN1,1,"[(1, 0, 1, 0, 1, 1)]"
620,C1=NNN=CS1,1,"[(1, 0, 1, 0, 1, 4)]"
621,C1=NOC=NO1,1,"[(1, 0, 0, 1, 0, 0)]"
622,C1=NOCCC1,5,"[(1, 0, 0, 2, 2, 2)]"
623,C1=NOCCN1,1,"[(1, 0, 0, 2, 2, 1)]"
624,C1=NOCCS1,1,"[(1, 0, 0, 2, 2, 0)]"
625,C1=NOCNN1,2,"[(1, 0, 0, 2, 1, 1)]"
626,C1=NOCOC1,1,"[(1, 0, 0, 2, 0, 2)]"
627,C1=NSCCC1,1,"[(1, 0, 4, 2, 2, 2)]"
628,C1=NSNCC1,1,"[(1, 0, 4, 1, 2, 2)]"
629,C1=NSNCN1,1,"[(1, 0, 4, 1, 2, 1)]"
630,C1=NSNSN1,1,"[(1, 0, 4, 1, 4, 1)]"
631,C1=NSOCC1,1,"[(1, 0, 4, 0, 2, 2)]"
632,C1=N[SH+]N=CN1,1,"[(1, 0, 1, 0, 1, 1)]"
633,C1=[N+]=S=NCC1,1,"[(1, 0, 2, 0, 2, 2)]"
634,C1=[NH+]CCCN1,3,"[(1, 1, 2, 2, 2, 1)]"
635,C1=[NH+]OCCC1,1,"[(1, 1, 0, 2, 2, 2)]"
636,C1CCCCC1,1762,"[(2, 2, 2, 2, 2, 2)]"
637,C1CCNCC1,776,"[(2, 2, 2, 1, 2, 2)]"
638,C1CCNNC1,10,"[(2, 2, 2, 1, 1, 2)]"
639,C1CCOCC1,687,"[(2, 2, 2, 0, 2, 2)]"
640,C1CCONC1,4,"[(2, 2, 2, 0, 1, 2)]"
641,C1CCOOC1,10,"[(2, 2, 2, 0, 0, 2)]"
642,C1CCSCC1,41,"[(2, 2, 2, 4, 2, 2), (2, 2, 2, 0, 2, 2)]"
643,C1CCSNC1,3,"[(2, 2, 2, 4, 1, 2)]"
644,C1CCSOC1,1,"[(2, 2, 2, 4, 0, 2)]"
645,C1CCSSC1,3,"[(2, 2, 2, 0, 0, 2)]"
646,C1CC[NH2+]CC1,4,"[(2, 2, 2, 2, 2, 2)]"
647,C1CC[SH+]CC1,5,"[(2, 2, 2, 1, 2, 2)]"
648,C1CC[SH+]SC1,1,"[(2, 2, 2, 1, 0, 2)]"
649,C1CC[SH]=NC1,2,"[(2, 2, 2, 3, 0, 2)]"
650,C1CN=[SH]NC1,1,"[(2, 2, 0, 3, 1, 2)]"
651,C1CNCCN1,337,"[(2, 2, 1, 2, 2, 1)]"
652,C1CNCNC1,174,"[(2, 2, 1, 2, 1, 2)]"
653,C1CNCOC1,32,"[(2, 2, 1, 2, 0, 2)]"
654,C1CNCSC1,5,"[(2, 2, 1, 2, 0, 2)]"
655,C1CNNCN1,2,"[(2, 2, 1, 1, 2, 1)]"
656,C1CNOCN1,2,"[(2, 2, 1, 0, 2, 1)]"
657,C1CNSNC1,11,"[(2, 2, 1, 4, 1, 2)]"
658,C1CNSOC1,6,"[(2, 2, 1, 4, 0, 2)]"
659,C1CNSSN1,1,"[(2, 2, 1, 0, 0, 1)]"
660,C1COCCN1,393,"[(2, 2, 0, 2, 2, 1)]"
661,C1COCCO1,72,"[(2, 2, 0, 2, 2, 0)]"
662,C1COCC[NH2+]1,6,"[(2, 2, 0, 2, 2, 2)]"
663,C1COCNN1,6,"[(2, 2, 0, 2, 1, 1)]"
664,C1COCOC1,296,"[(2, 2, 0, 2, 0, 2)]"
665,C1COCSC1,8,"[(2, 2, 0, 2, 4, 2), (2, 2, 0, 2, 0, 2)]"
666,C1COC[SH+]C1,1,"[(2, 2, 0, 2, 1, 2)]"
667,C1COC[SH]=N1,1,"[(2, 2, 0, 2, 3, 0)]"
668,C1CONCN1,3,"[(2, 2, 0, 1, 2, 1)]"
669,C1COOCO1,5,"[(2, 2, 0, 0, 2, 0)]"
670,C1COSOC1,4,"[(2, 2, 0, 4, 0, 2)]"
671,C1CO[SH+]OC1,4,"[(2, 2, 0, 1, 0, 2)]"
672,C1CO[SH]=[O+]C1,1,"[(2, 2, 0, 3, 0, 2)]"
673,C1CSCCN1,27,"[(2, 2, 0, 2, 2, 1)]"
674,C1CSCCO1,4,"[(2, 2, 0, 2, 2, 0), (2, 2, 4, 2, 2, 0)]"
675,C1CSCCS1,9,"[(2, 2, 0, 2, 2, 0), (2, 2, 4, 2, 2, 4)]"
676,C1CSCSC1,75,"[(2, 2, 4, 2, 4, 2), (2, 2, 0, 2, 0, 2)]"
677,C1CSC[SH+]C1,22,"[(2, 2, 0, 2, 1, 2)]"
678,C1CSSSC1,1,"[(2, 2, 0, 0, 0, 2)]"
679,C1CSSSS1,1,"[(2, 2, 0, 0, 0, 0)]"
680,C1C[NH2+]CCN1,3,"[(2, 2, 2, 2, 2, 1)]"
681,C1C[NH2+]CC[NH2+]1,1,"[(2, 2, 2, 2, 2, 2)]"
682,C1C[SH+]CCN1,1,"[(2, 2, 1, 2, 2, 1)]"
683,C1C[SH+]CCO1,1,"[(2, 2, 1, 2, 2, 0)]"
684,C1C[SH+]CC[SH+]1,1,"[(2, 2, 1, 2, 2, 1)]"
685,C1C[SH+]C[SH+]C1,7,"[(2, 2, 1, 2, 1, 2)]"
686,C1C[SH+]OCO1,1,"[(2, 2, 1, 0, 2, 0)]"
687,C1C[SH]=NCO1,1,"[(2, 2, 3, 0, 2, 0)]"
688,C1N=NCN=N1,2,"[(2, 0, 0, 2, 0, 0)]"
689,C1NCNCN1,47,"[(2, 1, 2, 1, 2, 1)]"
690,C1NCOCN1,1,"[(2, 1, 2, 0, 2, 1)]"
691,C1NCSCN1,4,"[(2, 1, 2, 0, 2, 1)]"
692,C1NCSCS1,10,"[(2, 1, 2, 0, 2, 0)]"
693,C1NC[NH2+]CN1,1,"[(2, 1, 2, 2, 2, 1)]"
694,C1NNCNN1,9,"[(2, 1, 1, 2, 1, 1)]"
695,C1NOCOO1,3,"[(2, 1, 0, 2, 0, 0)]"
696,C1OCOCO1,5,"[(2, 0, 2, 0, 2, 0)]"
697,C1OOCOO1,15,"[(2, 0, 0, 2, 0, 0)]"
698,C1SCSCS1,5,"[(2, 0, 2, 0, 2, 0)]"
699,C1SC[SH+]CS1,1,"[(2, 0, 2, 1, 2, 0)]"
700,C1SSCSS1,4,"[(2, 0, 0, 2, 0, 0)]"
701,C1SS[SH+]SS1,1,"[(2, 0, 0, 1, 0, 0)]"
702,C1S[N-]SN=[S+]1,1,"[(2, 0, 0, 0, 0, 0)]"
703,C1[NH2+]CSCS1,1,"[(2, 2, 2, 0, 2, 0)]"
704,N1SNSNS1,1,"[(1, 4, 1, 4, 1, 4)]"
705,N1SSSSS1,1,"[(1, 0, 0, 0, 0, 0)]"
706,[BH-]1=CC=CC=C1,2,"[(1, 1, 1, 1, 1, 1)]"
707,[BH-]1=CC=C[NH+]=C1,1,"[(1, 1, 1, 1, 1, 1)]"
708,[BH-]1=C[NH+]=CC=C1,3,"[(1, 1, 1, 1, 1, 1)]"
709,[BH-]1=[NH+][BH-]=[NH+][C-]=[NH+]1,1,"[(1, 1, 1, 1, 0, 1)]"
710,[BH2-]1C=CC=N[NH2+]1,3,"[(2, 1, 1, 1, 0, 2)]"
711,[BH2-]1C=CCC[NH2+]1,1,"[(2, 1, 1, 2, 2, 2)]"
712,[BH2-]1C=CNC=[NH+]1,1,"[(2, 1, 1, 1, 1, 1)]"
713,[BH2-]1C=C[BH2-]C=C1,2,"[(2, 1, 1, 2, 1, 1)]"
714,[BH2-]1C=C[NH+]=CN1,1,"[(2, 1, 1, 1, 1, 1)]"
715,[BH2-]1C=[NH+]C=CC1,1,"[(2, 1, 1, 1, 1, 2)]"
716,[BH2-]1C=[NH+]C=CO1,1,"[(2, 1, 1, 1, 1, 0)]"
717,[BH2-]1C=[NH+][BH2-]C=[NH+]1,1,"[(2, 1, 1, 2, 1, 1)]"
718,[BH2-]1CC=CC=[NH+]1,1,"[(2, 2, 1, 1, 1, 1)]"
719,[BH2-]1CCCC[NH2+]1,2,"[(2, 2, 2, 2, 2, 2)]"
720,[BH2-]1CCNCC1,1,"[(2, 2, 2, 1, 2, 2)]"
721,[BH2-]1C[NH2+][BH2-]C[NH2+]1,2,"[(2, 2, 2, 2, 2, 2)]"
722,[BH2-]1C[SH+][BH2-]C[SH+]1,2,"[(2, 2, 1, 2, 2, 1)]"
723,[BH2-]1NC=CCN1,2,"[(2, 1, 1, 1, 2, 1)]"
724,[BH2-]1NC=CN=[NH+]1,1,"[(2, 1, 1, 1, 0, 1)]"
725,[BH2-]1NCC=C[NH2+]1,1,"[(2, 1, 2, 1, 1, 2)]"
726,[BH2-]1NCNCO1,1,"[(2, 1, 2, 1, 2, 0)]"
727,[BH2-]1OC=CC=[O+]1,1,"[(2, 1, 1, 1, 1, -1)]"
728,[BH2-]1OC=CCO1,3,"[(2, 0, 1, 1, 2, 0)]"
729,[BH2-]1OC=[NH+]CO1,1,"[(2, 0, 1, 1, 2, 0)]"
730,[BH2-]1OCCCO1,1,"[(2, 0, 2, 2, 2, 0)]"
731,[BH2-]1[NH+]=CC=CO1,16,"[(2, 1, 1, 1, 1, 0)]"
732,[BH2-]1[NH+]=CCC=[NH+]1,1,"[(2, 1, 1, 2, 1, 1)]"
733,[BH2-]1[NH+]=CCCO1,1,"[(2, 1, 1, 2, 2, 0)]"
734,[BH2-]1[NH2+]C=CCO1,2,"[(2, 2, 1, 1, 2, 0)]"
735,[BH2-]1[NH2+]CCCO1,2,"[(2, 2, 2, 2, 2, 0)]"
736,[BH2-]1[NH2+]O[BH2-][NH2+]O1,1,"[(2, 2, 0, 2, 2, 0)]"
737,[BH2-]1[NH2+][BH2-][NH2+][BH2-][NH2+]1,3,"[(2, 2, 2, 2, 2, 2)]"
738,[C-]1=[NH+]CCCN1,1,"[(0, 1, 2, 2, 2, 1)]"
739,[C-]1=[NH+]CCOC1,1,"[(0, 1, 2, 2, 0, 2)]"
740,[CH+]1[CH+][CH-][CH+][CH-][CH+]1,3,"[(1, 1, 1, 1, 1, 1)]"
741,[CH+]1[CH-][CH+][CH-][CH+][CH-]1,22,"[(1, 1, 1, 1, 1, 1)]"
742,[N-]1[SH+][N-][SH+][N-][SH+]1,1,"[(0, 1, 0, 1, 0, 1)]"
743,B1C=CC=CC=C1,1,"[(1, 1, 1, 1, 1, 1, 1)]"
744,B1C=CC=CCN1,2,"[(1, 1, 1, 1, 1, 2, 1)]"
745,B1C=CC=CCO1,4,"[(1, 1, 1, 1, 1, 2, 0)]"
746,B1CNCCCN1,1,"[(1, 2, 1, 2, 2, 2, 1)]"
747,C1=CC=CCC=C1,148,"[(1, 1, 1, 1, 2, 1, 1)]"
748,C1=CC=CNC=C1,20,"[(1, 1, 1, 1, 1, 1, 1)]"
749,C1=CC=COC=C1,15,"[(1, 1, 1, 1, 0, 1, 1)]"
750,C1=CC=CSC=C1,6,"[(1, 1, 1, 1, 4, 1, 1), (1, 1, 1, 1, 0, 1, 1)]"
751,C1=CC=C[SH+]C=C1,2,"[(1, 1, 1, 1, 1, 1, 1)]"
752,C1=CC=NCC=C1,3,"[(1, 1, 1, 0, 2, 1, 1)]"
753,C1=CC=NNC=C1,1,"[(1, 1, 1, 0, 1, 1, 1)]"
754,C1=CC=[NH+]CC=C1,1,"[(1, 1, 1, 1, 2, 1, 1)]"
755,C1=CCC=CN=C1,4,"[(1, 1, 2, 1, 1, 0, 1)]"
756,C1=CCC=NC=C1,13,"[(1, 1, 2, 1, 0, 1, 1)]"
757,C1=CCC=NN=C1,4,"[(1, 1, 2, 1, 0, 0, 1)]"
758,C1=CCCC=CC1,27,"[(1, 1, 2, 2, 1, 1, 2)]"
759,C1=CCCCC=C1,40,"[(1, 1, 2, 2, 2, 1, 1)]"
760,C1=CCCCCC1,64,"[(1, 1, 2, 2, 2, 2, 2)]"
761,C1=CCCCN=C1,2,"[(1, 1, 2, 2, 2, 0, 1)]"
762,C1=CCCN=CC1,1,"[(1, 1, 2, 2, 0, 1, 2)]"
763,C1=CCCNC=C1,29,"[(1, 1, 2, 2, 1, 1, 1)]"
764,C1=CCCNCC1,12,"[(1, 1, 2, 2, 1, 2, 2)]"
765,C1=CCCNN=C1,5,"[(1, 1, 2, 2, 1, 0, 1)]"
766,C1=CCCOC=C1,11,"[(1, 1, 2, 2, 0, 1, 1)]"
767,C1=CCCOCC1,3,"[(1, 1, 2, 2, 0, 2, 2)]"
768,C1=CCN=NC=C1,5,"[(1, 1, 2, 0, 0, 1, 1)]"
769,C1=CCNC=CC1,17,"[(1, 1, 2, 1, 1, 1, 2)]"
770,C1=CCNC=NC1,3,"[(1, 1, 2, 1, 1, 0, 2)]"
771,C1=CCNCC=C1,42,"[(1, 1, 2, 1, 2, 1, 1)]"
772,C1=CCNCCC1,23,"[(1, 1, 2, 1, 2, 2, 2)]"
